Generation,Score,Fitness,Best Score,Best Fitness
657,4,251.96,19,1136.0
658,5,286.89,23,1313.0
659,4,217.59,21,1216.0
660,4,264.81,19,1105.0
661,3,182.79,21,1148.0
662,4,258.19,20,1082.0
663,4,256.2,21,1193.0
664,5,275.4,23,1326.0
665,4,254.28,19,1090.0
666,6,345.93,20,1114.0
667,4,264.77,22,1215.0
668,5,292.94,23,1296.0
669,5,286.25,24,1330.0
670,4,250.96,20,1118.0
671,5,318.31,23,1338.0
672,6,354.01,22,1224.0
673,5,297.0,22,1234.0
674,5,265.9,21,1155.0
675,5,275.82,21,1179.0
676,4,224.32,19,1161.0
677,4,242.18,23,1244.0
678,5,272.05,20,1091.0
679,4,262.84,22,1175.0
680,4,230.84,17,916.0
681,4,265.25,21,1172.0
682,4,265.08,22,1245.0
683,4,229.28,16,899.0
684,5,273.64,22,1283.0
685,4,235.73,19,1096.0
686,4,252.99,22,1216.0
687,5,281.91,22,1223.0
688,5,302.03,21,1186.0
689,4,265.34,19,1037.0
690,5,277.22,21,1152.0
691,5,295.56,19,1150.0
692,6,323.48,22,1239.0
693,5,267.35,21,1135.0
694,4,242.36,22,1237.0
695,4,252.27,23,1287.0
696,4,260.96,23,1377.0
697,4,247.41,21,1175.0
698,4,257.55,19,1090.0
699,4,235.96,20,1083.0
700,5,275.19,25,1416.0
701,5,316.13,18,1116.0
702,5,287.53,20,1133.0
703,5,273.13,20,1149.0
704,5,276.5,21,1171.0
705,5,301.12,20,1134.0
706,5,307.67,25,1396.0
707,4,223.8,19,1080.0
708,4,268.8,19,1062.0
709,5,296.8,18,984.0
710,4,260.78,24,1303.0
711,4,245.29,20,1135.0
712,5,283.41,21,1199.0
713,3,186.4,18,1012.0
714,4,242.9,20,1128.0
715,4,210.49,21,1172.0
716,4,249.65,22,1248.0
717,4,236.35,19,1093.0
718,5,298.36,21,1195.0
719,5,287.3,20,1162.0
720,5,307.19,21,1199.0
721,4,238.6,22,1291.0
722,5,321.49,20,1150.0
723,5,288.21,20,1101.0
724,5,270.57,23,1285.0
725,5,315.85,24,1361.0
726,5,270.29,26,1454.0
727,5,265.46,24,1343.0
728,4,257.34,23,1338.0
729,6,361.87,23,1246.0
730,6,373.78,22,1266.0
731,5,282.98,21,1182.0
732,6,344.14,22,1231.0
733,6,335.94,19,1134.0
734,6,324.52,21,1200.0
735,6,341.31,23,1294.0
736,5,308.43,22,1220.0
737,6,331.73,23,1301.0
738,5,287.68,23,1273.0
739,5,287.42,23,1281.0
740,6,333.9,23,1307.0
741,5,308.55,22,1264.0
742,5,262.56,24,1328.0
743,5,323.47,20,1111.0
744,4,241.68,22,1232.0
745,6,346.15,21,1182.0
746,6,330.25,21,1222.0
747,6,323.39,22,1210.0
748,5,304.37,23,1277.0
749,5,268.91,23,1295.0
750,5,272.41,23,1304.0
751,6,322.14,26,1448.0
752,6,356.16,24,1344.0
753,6,363.4,24,1332.0
754,6,372.54,35,1946.0
755,8,449.29,26,1460.0
756,7,422.72,24,1351.0
757,8,456.59,23,1296.0
758,7,412.59,28,1555.0
759,7,413.18,22,1179.0
760,8,447.86,23,1387.0
761,8,459.61,24,1370.0
762,7,423.45,26,1451.0
763,6,366.22,20,1131.0
764,8,453.21,22,1254.0
765,7,412.54,23,1330.0
766,7,409.24,22,1228.0
767,7,395.23,23,1344.0
768,8,446.4,24,1336.0
769,9,502.18,23,1292.0
770,7,433.2,23,1225.0
771,8,477.1,24,1406.0
772,7,416.77,28,1650.0
773,7,379.9,21,1193.0
774,7,428.7,24,1341.0
775,8,456.15,25,1436.0
776,8,485.24,25,1394.0
777,7,422.0,24,1382.0
